Name;Category;Action;Block Keywords;Block File Types;Bandwidth Optimizer
1New - Default;YouTube Sharing;Block;false;;Do not block based on bandwidth
1New - Default;YouTube Video Upload;Block;false;;Do not block based on bandwidth
Basic Access;Abortion;Quota;false;;Do not block based on bandwidth
Basic Access;Abused Drugs;Block;false;;Do not block based on bandwidth
Basic Access;Adult Content;Block;false;;Do not block based on bandwidth
Basic Access;Adult Material;Block;false;;Do not block based on bandwidth
Basic Access;Advanced Malware Command and Control;Block;false;;Do not block based on bandwidth
Basic Access;Advanced Malware Payloads;Block;false;;Do not block based on bandwidth
Basic Access;Advertisements;Block;false;;Do not block based on bandwidth
Basic Access;Advocacy Groups;Quota;false;;Do not block based on bandwidth
Basic Access;Alcohol and Tobacco;Quota;false;;Do not block based on bandwidth
Basic Access;Alternative Journals;Quota;false;;Do not block based on bandwidth
Basic Access;Application and Software Download;Block;false;;Do not block based on bandwidth
Basic Access;Bandwidth;Permit;false;;Do not block based on bandwidth
Basic Access;Blog Commenting;Permit;false;;Do not block based on bandwidth
Basic Access;Blog Posting;Permit;false;;Do not block based on bandwidth
Basic Access;Blogs and Personal Sites;Quota;false;;Do not block based on bandwidth
Basic Access;Bot Networks;Block;false;;Do not block based on bandwidth
Basic Access;Business and Economy;Permit;false;;Do not block based on bandwidth
Basic Access;Classifieds Posting;Permit;false;;Do not block based on bandwidth
Basic Access;Collaboration - Office;Permit;false;;Do not block based on bandwidth
Basic Access;Compromised Websites;Block;false;;Do not block based on bandwidth
Basic Access;Computer Security;Permit;false;;Do not block based on bandwidth
Basic Access;Content Delivery Networks;Permit;false;;Do not block based on bandwidth
Basic Access;Cultural Institutions;Quota;false;;Do not block based on bandwidth
Basic Access;Custom-Encrypted Uploads;Block;false;;Do not block based on bandwidth
Basic Access;Drugs;Permit;false;;Do not block based on bandwidth
Basic Access;Dynamic Content;Permit;false;;Do not block based on bandwidth
Basic Access;Dynamic DNS;Confirm;false;;Do not block based on bandwidth
Basic Access;Education;Permit;false;;Do not block based on bandwidth
Basic Access;Educational Institutions;Permit;false;;Do not block based on bandwidth
Basic Access;Educational Materials;Permit;false;;Do not block based on bandwidth
Basic Access;Educational Video;Quota;false;;Do not block based on bandwidth
Basic Access;Elevated Exposure;Block;false;;Do not block based on bandwidth
Basic Access;Emerging Exploits;Block;false;;Do not block based on bandwidth
Basic Access;Entertainment;Quota;false;;Do not block based on bandwidth
Basic Access;Entertainment Video;Quota;false;;Do not block based on bandwidth
Basic Access;Extended Protection;Block;false;;Do not block based on bandwidth
Basic Access;Facebook Apps;Permit;false;;Do not block based on bandwidth
Basic Access;Facebook Chat;Permit;false;;Do not block based on bandwidth
Basic Access;Facebook Commenting;Permit;false;;Do not block based on bandwidth
Basic Access;Facebook Events;Permit;false;;Do not block based on bandwidth
Basic Access;Facebook Friends;Permit;false;;Do not block based on bandwidth
Basic Access;Facebook Games;Permit;false;;Do not block based on bandwidth
Basic Access;Facebook Groups;Permit;false;;Do not block based on bandwidth
Basic Access;Facebook Mail;Permit;false;;Do not block based on bandwidth
Basic Access;Facebook Photo Upload;Permit;false;;Do not block based on bandwidth
Basic Access;Facebook Posting;Permit;false;;Do not block based on bandwidth
Basic Access;Facebook Questions;Permit;false;;Do not block based on bandwidth
Basic Access;Facebook Video Upload;Permit;false;;Do not block based on bandwidth
Basic Access;File Download Servers;Permit;false;;Do not block based on bandwidth
Basic Access;Files Containing Passwords;Block;false;;Do not block based on bandwidth
Basic Access;Financial Data and Services;Permit;false;;Do not block based on bandwidth
Basic Access;Gambling;Block;false;;Do not block based on bandwidth
Basic Access;Games;Block;false;;Do not block based on bandwidth
Basic Access;Gay or Lesbian or Bisexual Interest;Quota;false;;Do not block based on bandwidth
Basic Access;General Email;Quota;false;;Do not block based on bandwidth
Basic Access;Government;Permit;false;;Do not block based on bandwidth
Basic Access;Hacking;Block;false;;Do not block based on bandwidth
Basic Access;HC Unblocked;Permit;false;;Do not block based on bandwidth
Basic Access;Health;Quota;false;;Do not block based on bandwidth
Basic Access;Hobbies;Quota;false;;Do not block based on bandwidth
Basic Access;Hosted Business Applications;Permit;false;;Do not block based on bandwidth
